,case,date,code,court,Unintelligible,NOTAccountable,text
210,De Mattos v Gibson,27 May 1859,(1859) 4 De Gex & Jones 276,QB,1,,"From this time there is again an UNACCOUNTABLE delay on the part of the Plaintiff until the month of September, when, upon an apprehension (as it is said) that Gibson might exercise his power of sale without notice to the purchaser of the charter-party, he filed a bill on the 15th September against Gibson only, praying that he might be restrained from selling the vessel otherwise than subject to the burthen of the charter-party."
212,M'Naughton v Caledonian Railway Co.,17 December 1858,(1858) 21 D. 160,2d Division.,1,,"But, if the whole enactment relates to contracts only, the words “notices, conditions and declarations” are UNACCOUNTABLE."
213,Mansergh v Campbell,18 November 1858,(1858) 3 De Gex & Jones 232,Ct of Chancery,1,,"It would certainly appear strange, although perhaps not altogether UNACCOUNTABLE, that the testator should have first given an annuity merely for life and then have directed that life annuity to be sold; but it seems still more extraordinary that even supposing all the children to have lived till the period of sale, so as to leave the aggregate annuity of £300 divisible amongst them all, then the sale must have been not of an annuity of £300 as the testator directed, but of so many annuities as there were lives, the annuities being of different values according to the probable duration of the lives, depending not only upon their respective ages, but also upon the strength or weakness of their constitutions."
214,Alexander Murray,15 November 1858,(1858) 3 Irvine 262,The High Court and Circuit Courts of Justiciary.,1,,"2d Reason—The act was preceded by a condition very similar, and his illness in London, in December 1857,—low, restless, anxious melancholia,—UNACCOUNTABLE to himself, increasing gradually, and the date of the deed not like delirium tremens , and neither preceeded nor followed by delirium tremens , and brought on by only two days drinking."
215,Webster v Boddington,28 July 1858,(1858) 26 Beavan 128,*845  Webster v Boddington,,1,"The testator, Samuel Boddington, of the City of London, merchant, the father of the Defendant, Lady Webster, by his will made in 1838, devised and bequeathed his real and personal estate to three trustees, upon trust to sell and realize, and to invest and stand possessed of the stocks and securities, “upon trust during the life of my daughter Grace Webster (if they the said trustees or trustee, and when and as soon and at such time or times, as they or he do and shall, in their or his sole and uncontrolled and UNACCOUNTABLE discretion, think fit), in the first place to set apart and appropriate, out of the said dividends, interest and annual proceeds, so much and such part or parts thereof as they the said trustees or trustee shall determine and think *846  proper, and to apply the same for and towards the education and maintenance, or otherwise for the support and benefit of my two grandsons Henry Boddington Webster and Charles Fox Webster, the sons of my daughter Grace Webster, and for all and every other her children or child, if such there shall be, and their issue respec- [129] -tively, and whether such grandchildren or issue respectively be minors under the age of twenty-one years or not, but so as that not more than the clear sum of £400 of lawful money of Great Britain be so appropriated or applied for each such grandchild or issue in any one year;” and, subject thereto, upon trust, during the natural life of Lady Webster, to pay the dividends, interest and annual proceeds to Lady Webster for her sole and separate use, without power of anticipation."
216,Regina v Aaron Mellor,1 January 1858,(1858) Dearsly and Bell 468,*1084  Regina v Aaron Mellor,1,,the sudden impressions and UNACCOUNTABLE prejudices which everybody is apt to conceive on the bare looks and gesture of another; and the consideration that the very questioning a person's indifference may provoke resentment.”
217,"Francis Tummons v Richard Ogle, Green and Pike",27 May 1856,[1856] 119 E.R. 977,NA,1,,"It is UNACCOUNTABLE to me why, if the mere form of the action is varied, and is replevin, the party may not come into the Superior Courts unless he can get sureties to be bound for him, who, if he fail in the action, are to be liable for him, and, as Mr."
218,The “Fenix.”,20 December 1855,(1855) Swabey 13,High Court of Admiralty,1,,"It appeared that at midday, on the 19th of August, by some UNACCOUNTABLE neglect, the “Fenix” came in contact with this ship—the “Mobile”; the “Fenix” being a brig of between 200 and 300 tons, and the “Mobile” a vessel of 1000 and odd tons."
219,The “General de Caen”—(Guichon) Master,8 December 1855,(1855) Swabey 9,High Court of Admiralty,1,,"The pilot gave his proper orders to luff, but the man, by some UNACCOUNTABLE mistake, misunderstood the order, and did the opposite to what he was told."
220,Collinson v Lister,3 December 1855,(1855) 7 De Gex & Macnaghten Gordon 634,Ct of Chancery,1,,"Fletcher; and with respect also to the ship Engineer, and especially to the heavy and rash and almost UNACCOUNTABLE expenditure upon that vessel appearing to have taken place in one or both of the years 1850 and 1851."
221,William Macintosh and v William Wilson.,17 March 1855,(1855) 2 Irvine 136,High Court and Circuit Courts of Justiciary.,1,,"My Lords, I cannot conceive—having now had much experience in these railway trials, and looking with great anxiety to the course of proceedings elsewhere, and into the nature of these accidents—I cannot conceive a fault so grave, a fault so strange and so UNACCOUNTABLE, as that of which Macintosh has been found guilty."
222,George Lillie Smith and v Robert Campbell,15 January 1855,(1855) 2 Irvine 1,High Court and Circuit Courts of Justiciary.,1,,"If all the changes that took place in this unhappy and unfortunate man were the result of loose and dissolute habits—first in eccentricity indicated by recklessness of conduct, then in a disregard of public opinion, and then in confirmed habits of intemperance—melancholy as these may be, you must not allow your minds to be blinded by compassion into the notion that he was insane; because this may appear to be an UNACCOUNTABLE, a singular, and an improbable declension in such a person."
223,Evans v Coventry,1 December 1854,(1854) 3 Drewry 75,Court of Chancery,1,,"That is another strange and UNACCOUNTABLE circumstance, but so it is."
224,The “Fidentia”—(Serlachius),14 November 1854,(1854) Spinks' Prize Cases 85,Ct of Admiralty,1,,"It is rather, I confess, to me a startling circumstance, that a merchant making a consignment at that period, especially under the circumstances of this case, who wrote letters representing what was to be done with the cargo when it arrived in Finland, should by some UNACCOUNTABLE accident not have entered them in the letter-book."
225,William Smith,14 April 1854,(1854) 1 Irvine 378,The High Court and Circuit Courts of Justiciary.,1,,"The case was UNACCOUNTABLE, upon any other footing but that this crime had been projected and prepared in the mind of the prisoner from the first time that this matter of the insurances began, until Saturday the 19th of November 1853."
226,Newbigging v Pursell,9 March 1853,(1853) 15 D. 489,2d Division.,1,,"But assume it to have been suspended, the direction would have been unreasonable and almost UNACCOUNTABLE."
227,Ex parte Frederick Hodgson Evans and Emily Agnes Wass,7 December 1852,(1852) 2 De Gex Macnaghten & Gordon 948,Ct of Chancery,1,,"On the best construction that I can put upon these UNACCOUNTABLE words, it appears to me that at the end of six calendar months there was a breach of the covenant, entitling the trustees to recover the £3000."
228,Percival v Caney,2 August 1852,(1852) 4 De Gex & Smale 610,Court of Chancery,1,,"Their conclusions are stated very distinctly and positively, and are of such a nature as to render it altogether UNACCOUNTABLE that proceedings were not taken by some of her relations for the protection of the intestate and her property during the long period to which the witnesses speak."
229,Reynell v Sprye,15 March 1852,(1852) 1 De Gex Macnaghten & Gordon 660,Ct of Chancery,1,,"But, thirdly, suppose that this was not so—suppose, however UNACCOUNTABLE it may be, that Capt."
230,Fisher's Trustees v Fisher,5 December 1850,(1850) 13 D. 245,2d Division.,1,,"But, in this present question, I rest on the distinct statement of Mrs Fisher herself, in the probative writ under her hand, as to the nature of the debt constituted by the bond of Messrs Sandemans, which I apprehend cannot be overcome by the loose, and perhaps UNACCOUNTABLE terms, either of the bond or of the discharge, and far less by the mere suspicion of some unfair dealing, of which there is neither any evidence, nor, in my humble opinion, any reasonable ground of probability."
231,Cullen v Gossage,1 February 1850,(1850) 12 D. 633,2d Division.,1,,"But, in the circumstances, as she had no evidence on the one hand, and as Gossage was plainly treating her with neglect as well as cruelty, if not disowning her claim on him, it is quite UNACCOUNTABLE, on any knowledge one has of human nature, or of what a Scotchwoman would in such circumstances do on returning to Scotland, that she should not have discussed this point with White and his sister, obtained their advice and aid, and, through them or her brother, acquired evidence of the marriage, or declarations from the parties said to have been present, if it was not registered."
232,Reid v Langlois,20 December 1849,(1849) 1 Macnaghten & Gordon 627,Ch D,1,,"[640] [His Lordship then adverted to the time when the action was commenced, to the filing of the bill, and to the date of the subsequent proceedings, and observed:]— The UNACCOUNTABLE delay which has taken place would of itself be conclusive against the application of the Plaintiffs to enlarge the time, for parties seeking a discovery in aid of their defence to an action at law are not to be permitted to wait until the action is on the eve of trial, and then to ask the Court to make an order, the effect of which must be to postpone the trial."
233,Couper v Young,28 November 1849,(1849) 12 D. 190,1st Division.,1,,"You have that apparent in all the intermediate transactions; and it is an UNACCOUNTABLE circumstance, that if it had been intended to revive the extinct bills, it should not have been mentioned cither in the pass-book or on the bills."
234,Thomson v Lindsay,27 February 1849,(1849) 11 D. 719,No. 132.,1,,"If the petitioner's case does not fall within *759  the first portion of the Act 1579, nor within the provisions of the Act 1663 and 1672, and if he, and all others similarly situated, are entitled to relief under the charity of the second part of the Act 1579, it is most UNACCOUNTABLE that the legislature should never have thought of any regulation for providing and forcing work from such parties."
235,Paterson v Paterson,24 January 1849,(1849) 11 D. 421,1st Division.,1,,"I feel great difficulty in this case—not, however, on the comparative merits of the conduct of these parties; for I see no imputation whatever on the character or conduct of the pursuer; while on the other hand I think the conduct of the defender, whether it be tried by the laws of religion and morality, or by the more worldly code of honour and gentlemanlike feeling, is equally UNACCOUNTABLE and indefensible."
236,Sandeman v Scott,23 January 1849,(1849) 11 D. 405,1st Division.,1,,"But by a strange and to me most UNACCOUNTABLE arithmetical juggle, this interest of four per cent."
237,Clyne's Trustees v Clyne,17 June 1848,(1848) 10 D. 1325,2d Division.,1,,"How they should have entrusted such a person with the whole command of the trust-funds, and the unlimited right to use, apply, and spend them as he pleased, would be UNACCOUNTABLE but for one prominent fact in the case, which the statements of the trustees in this case, and the opinions of the First Division in the case between them and Manson, force on our notice as a very leading feature in the case—which I believe explains the utter neglect of the trust by some of the intelligent men of business who unfortunately accepted."
238,"Frederick Squire, Richard King, and John Squire v Mary Philippa Whitton",14 February 1848,(1848) I House of Lords Cases (Clark's) 333,House of Lords,1,,"Whitton; for, to make short of my story, William (the writer's eldest son) in my absence, entered into a speculation most UNACCOUNTABLE, which I have to make good in seven days from the present; and in order to give time to realize other securities, may I ask the favour of you to join me in a bond for £10,000, which will give me time to make arrangements."
239,Mackenzie v Stewart,5 February 1848,(1848) 10 D. 611,1st Division.,1,,"As to the defender's admission, that he only lent the pursuer a pound on one occasion, which has been founded on in his favour, though it may fairly be viewed as evidence of his niggardly disposition, yet, on the supposition of this matrimonial union, his failure to provide for her wants is at least equally UNACCOUNTABLE."
240,M'Manimy & Higgans,28 June 1847,(1847) Ark. 321,The High Court and Circuit Courts of Justiciary.,1,,"While the crime argued a very bad feeling on the part of M'Manimy, it was certainly most singular and UNACCOUNTABLE, that the other pannel Higgans, without any apparent motive, should have joined in this criminal plan, and agreed to be the active agent in conducting the sick man to Glasgow, and thereafter deserting him, and leaving him exposed."
242,Francis Hart Dyke v Thomas Walford ,11 December 1846,"(1846) V Moore, P.C. 434",Privy Council (UK),1,,"This you refused, for reasons which are altogether UNACCOUNTABLE to me."
243,Macaulay v Buist & Co.,9 December 1846,(1846) 9 D. 245,1st Division.,1,,"Is not a jury fairly entitled to hold, on a question of fact, that such was the case here? And what is the answer of the defenders? That it may have arisen from some damnum fatale , some UNACCOUNTABLE failure of the machine, against which no human foresight could guard."
244,The Marquess of Breadalbane v M'Gregor and Others,3 December 1846,(1846) 9 D. 210,1st Division.,1,,It is said to be UNACCOUNTABLE why they should not have paid for the road as well as the stance—but the reason of this is obvious.
245,Frere v Peacocke,6 August 1846,[1846] 163 E.R. 1095,Court of King's Bench,1,,"“The conduct which he held to his brother certainly is considerably UNACCOUNTABLE; if, whenever his brother's name occurred, instantly a fit of delirium had seized him, then I should conceive he was not competent to make his will; but if his mind remained entire, if he had new raised up prejudices against his brother, though upon improper grounds, yet if they were such prejudices as might reside in a sound mind, it is hard that those prejudices should lead to conclusions unfavorable to his brother; but hard as the case may be, it is better that a thousand hard cases should take place than that we should remove the landmarks by which man's property is to be decided."
247,Lindsay v Giles,27 February 1844,(1844) 6 D. 771,2d Division.,1,,"Accordingly, when the case was afterwards sent to avizandum on a short answer for the pursuer on 8th February, after an UNACCOUNTABLE delay by the pursuer of three weeks, the Sheriff in a few days pronounced the proper interlocutor, admitting Walker's compearance, and renewing the decree against the principal debtor, and allowing extract thereof to go out immediately, on the very ratio that the compearance imported that the advocator ‘merely craves to be preferred as a prior bondholder to the rents, for which decree against the tenants has been given.’"
248,Christian Gilmour,13 January 1844,(1844) 2 Broun 23,The High Court and Circuit Courts of Justiciary.,1,,"Then, again, if she was guilty, it is UNACCOUNTABLE that she should have manifested no aversion or disinclination to permit access to her husband during his illness; but without the slightest dread of the consequences, should on the contrary have permitted the servants and inmates of the house—all, indeed, who chose—to approach the sick-bed *64  as freely as herself."
249,Greenwood v Greenwood,1 January 1844,(1844) 1 Robertson Ecclesiastical 868,Court of King's Bench,1,,"Gentlemen,—The conduct which he held to his brother certainly is considerably UNACCOUNTABLE—if whenever his brother's name occurred, instantly a fit of delirium had seized him, then I should conceive that he was not competent to make his will; but if his mind remained entire, if he had new raised up prejudices against his brother, though upon improper grounds, yet if they were such prejudices as might reside in a sound mind, it is hard that those prejudices should lead to conclusions unfavourable to his brother; but hard as the case may be, it is better that a thousand hard cases should take place, than that we should remove the landmarks by which man's property is to be decided."
250,Kirkpatrick v Donaldson,2 June 1843,(1843) 5 D. 1104,2d Division.,1,,"Whyte having very naturally suspected, from what he had seen, that the carnal intercourse between the parties, which is now averred by the pursuer to have taken place in that plantation, on the occasion in question, had been the real explanation of the lengthened absence, which he and his companions had previously considered so UNACCOUNTABLE, he immediately began to joke her upon the subject, at which she is said to have laughed; and the defender himself having soon afterwards come to the moss with a hammer and nails to mend the pursuer's peat barrow, apparently in consequence of having been asked by the pursuer to do so at their previous meeting, Whyte began to joke him also on the same subject, when the disgusting conversation, referred to in the proof, ensued betwixt Whyte and the defender."
251,Cruickshank v Gordon,10 March 1843,(1843) 5 D. 909,1st Division.,1,,"Having expressly bound themselves to admit a qualified presentee, if after examining him, and finding him qualified, the Presbytery, from some strange and UNACCOUNTABLE caprice, or in order to allow the illegal presentee of some unauthorized party to interfere with the appointment of the legal patron, should stop short, upon what ground can it be maintained that the contract on this point could not be enforced just as all other contracts would be? Were it otherwise, it was a very idle stipulation on the part of the State, and utterly dishonest in the Church to procure advantages upon an undertaking which they might disregard if they chose, and which the other contracting party had no means to enforce."
252,MacAlister v Alexander,14 February 1843,(1843) 5 D. 580,2d Division.,1,,"This was an UNACCOUNTABLE neglect on the part of the directors, to allow the concern to go on for a considerable period without any books, especially when they were bound to exhibit to the shareholders an annual balance sheet."
253,"The Clarence Railway Company v The Great North of England, Clarence, and Hartlepool Junction Railway Company",1 January 1843,(1843) 4 Queen's Bench Reports 46,Court of Queen's Bench,1,,"And it is to be observed that there is an omission in this forty-third section quite UNACCOUNTABLE upon the defendants' theory: for, although it goes on to provide at whose expense the crossing shall be made and repaired, and for the settlement and payment of satisfaction for temporary, permanent or recurring injury, and then gives the defendants full power at all times to cross with any engines and carriages without payment of toll, it omits to make any regulations for the hours of crossing, or to enter into or provide for any of those details which must be necessary in order to do justice between the parties or secure safety to the public."
254,"John James Hope Johnstone, George Graham Bell, James Hope Stewart, and William Stewart v Mary Stewart Beattie, an Infant, by Duncan Stewart her Grandfather and next Friend",27 March 1843,(1843) X Clark & Finnelly 42,1843,,1,"But the Scotch guardians, who have the care of it, may also extend their care to the person though in England; nor will they be UNACCOUNTABLE in performing that office."
255,Regina v Harris and Twenty-eight Others,3 October 1842,(1842) Carrington and Marshman 661,Assizes,1,,"If there is one right which, beyond all others, the labourer ought to be able to call his own, it is the right of the exertion of his own personal strength and skill, in the full enjoyment of his own free will, altogether unshackled by the control or dictates of his fellow-workmen; yet, strange to say, this very right, which the discontented workman claims for himself to its fullest extent, he does, by a blind perversity and UNACCOUNTABLE selfishness entirely refuse to his fellows who differ in opinion from himself."
256,Middleton v Anderson,10 March 1842,(1842) 4 D. 957,1st Division.,1,,"This is certainly, to me, a very novel and UNACCOUNTABLE way, to say the least of it, of treating reasons of complaint and appeals."
257,Milne v Thomson,6 July 1841,(1841) 3 D. 1163,2d Division.,1,,"But the Onus of proving a case to exclude this, is clearly on the pursuer; and if it be wore probable, or even nearly as probable, as what he avers, this is more than sufficient to dispose of a penal action like the present, instituted after so long and UNACCOUNTABLE a delay.”"
258,M'Pherson v Christie,26 May 1841,(1841) 3 D. 930,2d Division.,1,,"But it is conceivable enough that, in the hurry of divesting himself of his wrappings and getting in to his dinner, he might forget for the moment that he had not taken it up again and secured it; and in the same way the Lord Ordinary, not being able to conceive that any man should knowingly throw off his greatcoat and see it hung on a stair rail, with a valuable pocket-book loose in its shallow breast-pocket, without at least charging the attendants to be careful of it on account of its contents, must (and does) believe that the otherwise UNACCOUNTABLE conduct of the respondent was truly owing to his having entirely forgotten, for the time, that there was any such precious deposit to he provided for, and can therefore as little throw over on the innkeeper the loss, which was the natural consequence of his forgetfulness, in the one case more than ill the other."
259,Farquhar's Trustees v Stewart,27 February 1841,(1841) 3 D. 658,2d Division.,1,,"It seems equally UNACCOUNTABLE, on the supposition of it being an ordinary loan, and as such composing so considerable a portion of his funds, that the will of Mr Farquhar should totally omit all notice of the existence of so large an outstanding debt, or any direction to his executors to collect it, or take any measures regarding it, though he must have been thoroughly aware, that their calling upon his son-in-law to pay up so large a sum, or even to give effectual security for it to his executors, must have been attended with the greatest possible embarrassment to him."
260,"The Rev. Thomas Knight, Clerk, Plaintiff v and The Marquess of Waterford and Others, and George Adam Askew and Others",17 December 1839,(1841) 4 Younge and Collyer 283,Court of King's Bench,1,,"The omission, therefore, to tax this sum, if it were really paid, is UNACCOUNTABLE, particularly as at that time this sum was very great."
261,Regina v Edward Oxford,9 July 1840,(1840) 9 Carrington and Payne 525,Assizes,1,,"Justice Tracey observed “that the defence of insanity must be clearly made out; that it is not every idle or frantic humour of a man, or something UNACCOUNTABLE in his actions, which will shew him to be such a madman as to exempt him from punishment.”—In"
262,Haworth v Bostock,27 February 1840,(1839) 4 Younge and Collyer 1,Court of King's Bench,1,,"Haworth would not be affected by these proceedings, unless she was a party to the substitution of the bond for £1400; but how, as a married woman, she could be so, the deed giving her powers as a feme sole only to a certain extent, is UNACCOUNTABLE."
263,Browne v Lockhart,21 January 1840,(1840) 10 Simons 420,Court of Chancery,1,,"With respect to the case cited from Mosley: in the first place, Mosley is not a reporter of very great authority; and I confess that it seems to me to be most extra- *680  ordinary that, after a decree nisi for a foreclosure had been made, an application should be made, by the mortgagor, that the mortgagee should produce his deed, in order that it might be laid before a conveyancer, to enable him to draw an assignment of the mortgage to some person who might be disposed to lend the money to pay off the first mortgage; and, what is still more UNACCOUNTABLE, the Court granted the motion."
264,Dill v Houston's Trustees,7 December 1839,(1839) 2 D. 214,2d Division.,1,,"Even if it were to be held, therefore, that the wife was the proper beneficiary as to this sum, from the first constitution of the trust, the insertion of this specific power of appointment would not be either superfluous or UNACCOUNTABLE; since, without it, not such power could be competently exercised during the subsistence of the marriage."
265,"Gabriel Hamilton Lang of Overton, Writer in Glasgow v Alexander Lang, residing in Glasgow",16 August 1839,(1839) Maclean & Robinson 871,House of Lords,1,,"“If there be any weight however in these authorities, and in all the earlier series, it does seem altogether impossible to justify the decision in the case of Lochbuy, which it has been seen was adjudicated without special argument, under the very UNACCOUNTABLE assumption that it was not to be distinguished on the merits from that of Roxburghe."
266,"Mrs. Maria Campbell Stewart v Ferdinand S. C. Stewart, and Attorney and Mandatory",3 June 1839,(1839) Maclean & Robinson 401,House of Lords,1,,"Upon the circumstances admitted or proved it was clear, that, by some UNACCOUNTABLE mistake, which has never been explained, the appellant, a stranger to the law of Scotland, was entirely misled and deceived as to her rights, even under that law."
267,Lord Blantyre v Kennedy,4 December 1838,(1838) 1 D. 148,1st Division.,1,,"It seems UNACCOUNTABLE, therefore, that a privilege which the monks themselves did not possess, should be enjoyed by their laic successors."
268,Lang v Lang,23 November 1838,(1838) 1 D. 98,2d Division.,1,,"“If there be any weight, however, in these authorities, and in all the earlier series, it does seem altogether impossible to justify the decision in the case of Lochbuy, which it has been seen was adjudicated without special argument, under the very UNACCOUNTABLE assumption that it was not to be distinguished on the merits from that of Roxburghe."
269,Kirkland v Cadell,9 March 1838,(1838) 16 S. 860,2d Division,1,,"Now, it is most UNACCOUNTABLE that even these proceedings did not awaken this body of creditors from the slumber from which they ought to have been roused; on the contrary, they absolutely dreamed that this award of Mr Cockburn's was final and conclusive as to the interest of all concerned."
270,Gordon v Glendonwyn,23 February 1838,(1838) 16 S. 645,1st Division,1,,"But, in this Court, we have had too much occasion to be aware that even a delay like this, is, in the case of her ladyship, less UNACCOUNTABLE than it would be in the case of most other persons, supposing the debt to be truly due."
271,Attorney-General v Lubbock. (Morden College.),6 November 1837,(1837) C. P. Cooper 15,Ct of Chancery,1,,"Forster , 2 Peere Williams, 325, the case of the Birmingham Grammar School, heard by Lord King, assisted by Chief Justice Eyre and Chief Baron Gilbert, it is said, “in those cases where the governors or visitors are said not to be accountable, it must be intended where such governors have the power of Government only, and not where they have the legal estate and are intrusted with the receipt of rents and profits; for it would be of the most pernicious consequence imaginable, that any persons intrusted with the receipts of rents and profits, and especially for a charity, though they misemploy never so much these rents and profits, should yet be UNACCOUNTABLE for these receipts; this would be such a privilege as might of itself be a temptation to a breach of trust.”"
272,Wishaw Railway Company v Steuart's Representatives,1 March 1837,(1837) 15 S. 703,2d Division R,1,,"Their denial of the authenticity of the copy of the proposals in process, and their professions of their ignorante of any document of such a tenor, are, to say the least of them, altogether UNACCOUNTABLE, and, so far as the Lord Ordinary's experience goes, without example in litigations with persons of their condition."
273,Gifford v Gifford,17 February 1837,(1837) 15 S. 592,2d Division. R,1,,"They vacillated, and in a way which is UNACCOUNTABLE, except on the idea that they had misgivings; and while they avoided taking any course likely to bring matters to a crisis, manœuvred to make Gideon's legitimacy be received by the world without discussion."
274,Sawyer v Birchmore,25 June 1836,(1836) 1 Keen 391,Ct of Chancery,1,,"Auberry, to carry such claims into the Master's office in the Chancery suit brought by Miss Smith against the executors, but which, as it now appears, by some UNACCOUNTABLE misconduct was not done."
275,"Stephen Denton and Duncan Robertson, Esqrs. v James Lewis Davy, John Davy and John Coley, Executors of the last Will of James Davy, deceased ",15 June 1836,"(1836) I Moore, P.C. 15",Privy Council (UK),1,,"And the respondents, by their answer, further alleged that Denton and Gatfield were guilty of UNACCOUNTABLE negligence and delay, in not sending but a power *721  to have such sale confirmed, in consequence of which James Davy concluded the sale on the 19th May 1821, although it was not executed on behalf of the said Stephen Denton and Charles Gatfield until the 27th September following."
276,Sayer v Birchmore,15 April 1836,(1836) Donnelly 56,Ct of Chancery,1,,"In the present case the Plaintiffs did know of the proceedings, but did not prosecute their claims before the Master; and that they knew of the proceedings was proved by the letter of their solicitor, which was written in 1833, and which was to the following effect: That their clients (meaning the present Plaintiffs), had put into their hands the papers and documents supporting their claims as next of kin, which papers and documents had been lodged with two different solicitors, for the purpose of carrying in such claims before the Master, and which then appeared, by some UNACCOUNTABLE negligence, was not prosecuted."
277,Lippmann v Don,20 January 1836,(1836) 14 S. 241,1st Division,1,,"The UNACCOUNTABLE delay in making a demand of payment, and the ultimate institution of proceedings so soon after the death of the alleged debtor not only exposed the claim to much suspicion, but rendered it unfit to ground an action in this country."
279,Fruser v Fraser's Trustees,7 November 1834,(1834) 13 S. 703,1st Division,1,,"But what imaginable apology can be made for their not letting this sum remain in the bank till such investment was obtained? Their needlessly drawing it out, and placing it for an indefinite time in the hands of one of their number, was not an omission, but an act and intromission of the most UNACCOUNTABLE, and, it appears to the Lord Ordinary, the most indefensible character; and it is for this accordingly that he has found them liable."
280,Swift v Swift ,9 July 1833,(1833) III Knapp 303,Privy Council (UK),1,,"Supposing a marriage had taken place, and all these cohabitations that are pleaded, it is a most UNACCOUNTABLE thing that, travelling with his brother-in-law, from Rome to Naples, and after Mrs."
281,Mansfield v Walker's Trustees,28 June 1833,(1833) 11 S. 813,2d Division,1,,"We know that there may be UNACCOUNTABLE forgetfulness, and great haste and rashness under difficulties."
282,"Caroline Robley, Widow, William Blake, and James Cunningham v Charles Brooke",1 January 1833,"(1833) VII Bligh, N. S. 90",House of Lords,1,,"If they had been equally interested I can conceive that it might have been left without making any memorandum; but as one had double the interest of the other it is utterly UNACCOUNTABLE, if it was not a partnership transaction, how it should have found its way into the books, and continued all along without a single note, or memorandum, or mark to distinguish it."
283,"Rutherford v Maule, Shard, and Beasley",1 January 1832,"(1832) 4 Haggard, Ecclesiastical 213","Prerogative Court, Trinity Term, 3rd Session, 1832",1,,"[223] It is quite UNACCOUNTABLE, then, if the story be true, and the paper genuine, why it was not brought forward in 1820: however, from some reason or other, the parties did not venture at that time to produce it."
285,Ingram v Wyatt,1 January 1828,[1828] 162 E.R. 621,Court of King's Bench,1,,"On any other supposition, indeed, his conduct would be most strange and UNACCOUNTABLE; since, if he had been aware, as it had been insinuated he was, that his Lordship was no party to the sale, was it likely he would have rested satisfied [85] with a contract, in which he was himself the only person that was bound? His subsequent conduct, however, abundantly proved that he did not so understand it."
286,Collins v Hare,1 January 1828,(1828) I Dow & Clark 139,House of Lords,1,,"Argued for the Respondent: The transaction itself afforded intrinsical evidence of fraud and undue influence, since the affair was UNACCOUNTABLE, except upon the supposition, which was warranted by the evidence, that Atkinson acted under the apprehension that Collins would destroy the credit of the house by [148] exposing the manner in which the accounts had been kept; and as to the £100 given to Collins by the codicil, that was given under the same apprehension, and it was in evidence that Collins boasted that it depended on him whether there would be any codicil at all."
287,Brydges v King,1 January 1828,(1828) 1 Haggard 256,Court of King's Bench,1,,"These various representations are quite UNACCOUNTABLE, except by referring to Cunningham's answer on the last interrogatory: “She came to town from Bristol in company with the producent, James King, and Thomas Witchell: she is staying in Bury Street, St."
288,"Mysie, or Marion Brown.",13 March 1827,(1827) Syme 152,High Court of Justiciary.,1,,"That the crime was without adequate motive, altogether extraordinary, and UNACCOUNTABLE, was no ground of defence."
289,"Huble v Clark, formerly Horner",1 January 1827,(1827) 1 Haggard 115,Court of King's Bench,1,,"This surely is quite UNACCOUNTABLE, and adds to the incredibility of the story."
290,  Brett v Brett,1 January 1826,(1826) 3 Addams 210,Court of King's Bench,1,,"At all events, it seems to me full as UNACCOUNTABLE that this act should be so entitled if meant to affect personal estate, as that Lord Hardwick should have used the phrase “any will or codicil” in the sense of “any will or codicil of real estate”—limited, as the phrase is, to that sense by its whole context."
291,“Woodbridge”—(Munnings),23 July 1822,(1822) 1 Haggard 63,High Court of Admiralty,1,,"It is a duty, very painful in the discharge, to wade through such a mass of matter, without a prospect of being able to extricate the parties from the state of inconvenience into which they have been dragged by some UNACCOUNTABLE acts of negligence, by improper indulgence of passion and ill humour, and by the unfortunate advice to which they have submitted."
292,Johnes v Lloyd,27 January 1822,(1822) 10 Price 62,Court of Exchequer,1,,"It is a very UNACCOUNTABLE and unintelligible charge; and if it were any thing that could be insisted upon, it can only be as a gift; and if so, it cannot be urged, under the circumstances, as a demand subsisting against Johnes."
293,Saph v Atkinson and Westcott,1 January 1822,[1822] 162 E.R. 57,Court of King's Bench,1,,"But is it equally UNACCOUNTABLE in the other alternative, namely, that it was not the deceased's act, but a fabrication of Mr."
294,Hamley v Gilbert,4 December 1821,(1821) Jacob 354,Ct of Chancery,,,"Hamley was entitled to the residue, subject only to a direction to maintain and educate her son, which the testatrix had left to her discretion, purposely providing that it should not be an imperative trust, by making her UNACCOUNTABLE."
295,The Attorney-General v Hartley,18 December 1820,(1820) 2 Jacob & Walker 353,Ct of Chancery,1,,"This also is a strong passage to show, that at that time there was only one school, and that that was a grammar school; for when the commissioners adverted to the fact that there was a school and a schoolmaster without proper provisions, requiring to be regulated, it is UNACCOUNTABLE that they should make no provision about any other school, if there was any other, and I therefore feel this to be very strong evidence to show, that at that time of day, the construction which had been actually put on these several grants, independently of so much of their contents as devotes a part of the revenues to the poor, did provide an application of the rents and profits of all of them, as far as the school was concerned, to one school only, that school being a grammar school."
296,"The King v Sir Francis Burdett, Bart",27 November 1820,(1820) 4 Barnewall and Alderson 95,Court of King's Bench,1,,"It seems UNACCOUNTABLE, indeed, how the word famosus was introduced unless it had a reference to publication."
